"Date","Day","Week","Platform","Format","Pillar","Topic","Hook","Caption concept","CTA","Visual concept","Production","Reference","Flags"
"2026-12-23","Wed","12","IG + FB","Single image","Patient convenience","Lunch-break consultation","Could you see a GP on your lunch break?","Pick a time that suits; video or phone; somewhere private.","Book online","Brand template matching the format","Template, 30–60 min","Later series",""
"2026-12-23","Wed","12","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-24","Thu","12","TikTok + IG Reels + YT Shorts","Vertical video ~20s","Future clinic","Getting ready for the Newbridge clinic (team prep)","""Getting ready for something new.""","Team training/prep — no location. PHASE 2.","Get opening news","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V29 (video/short-form-concepts.md)","PHASE 2 — owner go-ahead"
"2026-12-24","Thu","12","YouTube","Explainer 3–8 min","Online GP explained","Online GP vs walk-in GP — what's the difference? (long version)","""Online or in person — which do you need?""","Description with reviewer, date, chapters, booking link","Book online (description link)","GP to camera, b-roll","Film 1h + edit 2h","V06 long form","GP review"
"2026-12-25","Fri","12","IG + FB","Single image","Brand content","Happy Christmas","Happy Christmas from GP4U.","Warm brand card. Emergencies: 112/999.","—","Template ""announcement""","Template, 20 min","","Scheduled in advance"
"2026-12-28","Mon","13","IG + FB","Carousel","GP education","Flu vs cold","Cold or flu — how to tell?","Flu comes on suddenly with fever and aches; colds are milder; who should get help (older people, pregnancy, long-term conditions).","Share with family","Brand template matching the format","Template, 30–60 min","Later series","GP review"
"2026-12-29","Tue","13","TikTok + IG Reels + YT Shorts","Vertical video ~45s","Online GP explained","Questions we get asked most","""The questions everyone asks us.""","Top 5 FAQs.","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V30 (video/short-form-concepts.md)",""
"2026-12-30","Wed","13","IG + FB","Single image","Future clinic","Team preparing for Newbridge","Getting ready for something new in Newbridge.","Team prep photo — no location details. PHASE 2.","Get opening news","Brand template matching the format","Template, 30–60 min","Later series","PHASE 2 — owner go-ahead"
"2026-12-30","Wed","13","LinkedIn","Text + image","Behind GP4U","Building GP4U — weekly update / lesson","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
"2026-12-31","Thu","13","TikTok + IG Reels + YT Shorts","Vertical video ~45s","GP education","Stress and sleep — when to talk to a GP","""Not sleeping? When it's worth a chat.""","General info; supports; crisis line (Samaritans 116 123; 112/999).","Book online / follow","Real GP to camera or b-roll; captions on; brand end card","Batch-filmed; edit 45 min","V31 (video/short-form-concepts.md)","GP review"
"2027-01-01","Fri","13","IG + FB","Carousel","GP education","Eczema flare-ups in winter","Winter making your eczema worse?","Moisturise often, avoid overheating, when to see a GP.","Save this","Brand template matching the format","Template, 30–60 min","Later series","GP review"
"2027-01-01","Fri","13","LinkedIn","Text + image","Meet GP4U","Team, hiring or professional update","Founder voice, first line = the lesson","Honest, specific, no hype; no patient data","Follow GP4U","Founder/team photo or product screenshot (demo data)","Founder 30 min","linkedin/profile.md",""
